application_id,service,lms_application_id,site_lat,site_long
1564228   ,FM ,4974067c949a4731af1ec1b6063ebeb7 ,33.39594,-87.01861 
632470    ,FM ,1aa1aaf6a871479f9bdec1b6063ebeb7 ,34.81897,-86.73861 
1411889   ,FM ,8f5d3abb1cb142f08aefc1b6063ebeb7 ,35.79783,-91.67125 
1745205   ,FM ,cd4cfa2b1830420388f7c1b6063ebeb7 ,36.39369,-94.18158 
1327209   ,FM ,3ed7c35c1c304ef784dbc1b6063ebeb7 ,35.20314,-90.56594 
578915    ,FM ,a474d949605741548853c1b6063ebeb7 ,33.53650,-92.46878 
205008    ,FM ,25076f9184355aa3018481e8ae4411c0 ,35.90139,-92.61611 
1480608   ,FM ,ae9198ed2f7a4cb989e3c1b6063ebeb7 ,"-14.32250,-170.76306",NA
167244    ,FM ,25076f917ce2e04b017cf6f6731159d7 ,34.48861,-112.53833
1224767   ,FX ,7408610eaff34772ac32c1b6063ebeb7 ,34.42225,-110.56622
492632    ,FX ,95888c9301ea4b3a9fbcc1b6063ebeb7 ,34.91808,-110.14094
1034050   ,FM ,6b152ad0e4cb4b969fe7c1b6063ebeb7 ,35.80806,-110.27375
144607    ,FM ,25076ff3793b580c01793e153a47018d ,32.24894,-111.11697
166383    ,FM ,25076f917cce2f5b017ce15b5021301a ,34.28781,-111.19344
1505715   ,FM ,f70c7d2d095f44d5a164c1b6063ebeb7 ,31.34844,-109.48006
149479    ,FX ,25076ff379c982f20179cd1b79ef005a ,33.66753,-114.05992
47324     ,FM ,2f1db0103dee4e66b46cc1b6063ebeb7 ,33.76308,-109.96147
173078    ,FM ,e6ff38cf35a548f48db9c1b6063ebeb7 ,32.64200,-114.56022
1679110   ,FM ,8f5d020b88c94596b033c1b6063ebeb7 ,34.03778,-116.81419
159877    ,FX ,dd572a6ea55242ffa1c7c1b6063ebeb7 ,38.00686,-122.14383
1549053   ,FM ,df180022868d4dc5a858c1b6063ebeb7 ,38.36183,-122.97969
1752291   ,FM ,b3f84767531e449e9ef3c1b6063ebeb7 ,41.63683,-120.09214
26312     ,FX ,c60b5a2055734a42a54bc1b6063ebeb7 ,35.47994,-117.68394
1076164   ,FM ,8d79f211f9c44b71bec3c1b6063ebeb7 ,37.90547,-122.29383
1492692   ,FM ,b2db424ce6ad4f9286efc1b6063ebeb7 ,40.72736,-123.97256
1144123   ,FX ,53129d6344a24a6b991ac1b6063ebeb7 ,39.46736,-123.76056
18468     ,FM ,8314ea6b672749bbae89c1b6063ebeb7 ,37.07300,-119.43178
1538085   ,FM ,678b08ab497f4a338016c1b6063ebeb7 ,38.98961,-122.76914
1412774   ,FM ,3ba271337e284e509af7c1b6063ebeb7 ,34.90997,-120.18708
1638002   ,FS ,1fa8b1964fff4cb79047c1b6063ebeb7 ,34.60358,-120.48906
1045212   ,FM ,6722a5a7ce6d49bca661c1b6063ebeb7 ,33.79947,-118.16283
1112525   ,FX ,b28e3e4a34b948ef8068c1b6063ebeb7 ,37.16383,-121.91828
189388    ,FM ,25076ff3800b32100180189ad20b0231 ,34.40331,-116.96306
206545    ,FM ,25076ff385842f30018587e7ad3d002e ,34.40331,-116.96306
1677837   ,FM ,818e75d743004c3ea9a1c1b6063ebeb7 ,33.53969,-116.02636
498416    ,FM ,619a70db335a497283f3c1b6063ebeb7 ,35.12219,-118.20786
167402    ,FM ,25076ff37dda755d017e036c5db30dff ,32.89194,-116.41972
1536151   ,FM ,74050a56005e414abcf4c1b6063ebeb7 ,41.22181,-122.30861
1418826   ,FX ,b2dbfca2bdef43639b31c1b6063ebeb7 ,38.26408,-122.21608
1029353   ,FM ,af2da27bdfa44355aeb8c1b6063ebeb7 ,39.93711,-120.94856
1641410   ,FX ,e21c580ce8cd4185a956c1b6063ebeb7 ,33.30836,-116.84889
1216129   ,FX ,c70ef827523645d4a4f6c1b6063ebeb7 ,33.61753,-114.77331
247670    ,FM ,5564e475e0c544d4910ec1b6063ebeb7 ,38.24714,-121.50189
19061     ,FM ,f639eaa6aee4491a800bc1b6063ebeb7 ,37.97103,-122.51414
1546881   ,FM ,dcef4b8dd8884a199ebcc1b6063ebeb7 ,37.00272,-122.05217
1336132   ,FS ,7dfa5434b6964b128a7dc1b6063ebeb7 ,37.00272,-122.05217
1503229   ,FX ,26f630974984484f855fc1b6063ebeb7 ,38.91658,-119.96322
1536484   ,FX ,12d0d4926f4e4b45b6ffc1b6063ebeb7 ,39.32594,-120.19975
1795806   ,FX ,defea4db1eb549a5a687c1b6063ebeb7 ,39.63025,-106.04750
